symbol,name,website_slug,rank,circulating_supply,total_supply,max_supply,usd_price,usd_volume_24h,usd_market_cap,usd_percent_change_24h,usd_percent_change_7d,btc_price,btc_percent_change_24h,btc_percent_change_7d,perc_market_cap_top100
BTM,Bytom,bytom,31,987000000,1407000000,,0.582359,56594400.0,574788333,-7.01,-15.18,8.0317e-05,-2.34,-9.67,0.1885301607167053
SC,Siacoin,siacoin,32,34975790379,34975790379,,0.0155253,25321400.0,543009638,-10.76,-2.71,2.1412e-06,-6.28,3.61,0.17810677156326338
STEEM,Steem,steem,33,259173682,276147776,,2.06199,2951510.0,534413542,-8.45,-19.17,0.0002843826,-3.85,-13.92,0.17528725824440794
XVG,Verge,verge,34,15054315539,15054315539,16555000000.0,0.0354092,9506380.0,533061270,-6.69,-16.44,4.8835e-06,-2.0,-11.01,0.1748437139988905
BTS,BitShares,bitshares,35,2632120000,2632120000,3600570502.0,0.190228,24313800.0,500702923,-10.58,-19.58,2.62356e-05,-6.09,-14.35,0.1642301994054464
NANO,Nano,nano,36,133248289,133248289,133248290.0,3.59115,8016680.0,478514594,-7.17,-15.88,0.0004952791,-2.51,-10.41,0.156952443417304
MKR,Maker,maker,37,618228,1000000,,747.171,136767.0,461921861,-5.73,-5.77,0.1030472668,-0.99,0.35,0.15151003890138043
RHOC,RChain,rchain,38,360445603,870663574,1000000000.0,1.22142,406872.0,440255469,-5.74,-17.35,0.0001684541,-1.0,-11.98,0.14440347787466046
GNT,Golem,golem-network-tokens,39,839242000,1000000000,,0.488963,10415200.0,410358286,-8.83,-21.52,6.74361e-05,-4.25,-16.42,0.13459722330691726
WAVES,Waves,waves,40,100000000,100000000,,4.07526,25737900.0,407526000,-10.46,-8.0,0.0005620459,-5.96,-2.02,0.1336682355315588
WAN,Wanchain,wanchain,41,106152493,210000000,,3.79301,6573350.0,402637466,-11.35,-22.39,0.000523119,-6.9,-17.35,0.13206479988790407
BCD,Bitcoin Diamond,bitcoin-diamond,42,153756875,156756875,210000000.0,2.60995,1102240.0,401297756,-7.85,-17.25,0.0003599554,-3.22,-11.87,0.1316253759693713
